user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
How many letters of recommendation do I need for the MS in Applied Data Science?,"['The MS in Applied Data Science program requires two letters of recommendation. We strongly recommend that at least one letter is written by someone such as a direct manager/supervisor or internship supervisor who can attest to skills you demonstrated or gained though a professional workplace experience (e.g., leadership, teamwork, collaboration, initiative, management, other).', 'Note: Letters of recommendation can be uploaded after you submit your application. Recommended sources for letters of recommendation include: professors; supervisors or managers; professional mentors.']","The MS in Applied Data Science program requires two letters of recommendation [1]. One of these letters is strongly recommended to come from a supervisor or manager who can attest to your professional skills and experiences [1]. Letters can be uploaded after application submission and are typically provided by professors, supervisors, or professional mentors [2].","The program requires two letters of recommendation. They strongly recommend that at least one come from a direct manager, supervisor, or internship supervisor who can speak to your professional skills. Letters from family members, friends, or peers are not accepted.",1.0,0.9581585340000599,0.9999999999,0.75
Is the GRE or GMAT required to apply?,"['No, the GRE/GMAT is not required for admissions.', 'While the GRE/GMAT is not required, applicants can still submit their scores. The GRE school code is 1832; the GMAT school code is H9X-WG-70.', 'As part of the online application, candidates will be required to submit a GMAT or GRE score for the joint program. International applicants may be required to submit proof of English language proficiency by submitting a TOEFL iBT or IELTS test score. The minimum TOEFL iBT score required for admission is 104; the minimum IELTS score required is 7. Proof of English proficiency may be waived under certain criteria noted by UChicago GRAD Admissions.', 'When applying to the program, only your unofficial transcripts are required. If you are admitted into the program, then official transcripts must be sent to the following (note a bachelor’s degree is required to apply to the program):', '- Undergraduate or graduate GPA', 'Only completed applications are sent for committee review.', 'One video prompt response is required; the other is optional. Each video should be approximately 1:30 minutes in length.', 'Applicants to the Master’s in Applied Data Science program who do not meet the English Language Proficiency criteria must submit proof of English language proficiency.']","The GRE or GMAT is not required for the Master’s in Applied Data Science program [1]. However, applicants may still choose to submit these scores if they wish, as the program accepts them [2]. Note that the GRE/GMAT requirement applies specifically to the joint MBA/MS program, not the standalone MS in Applied Data Science [3].","No, the GRE/GMAT is not required for admission to the MS in Applied Data Science program. Applicants who have taken the test may still submit their scores if they wish — the GRE school code is 1832 and the GMAT school code is H9X-WG-70.",1.0,0.8605409194651811,0.99999999995,1.0
How much is the application fee?,"['There is a $90 non-refundable application fee. For questions regarding an application fee waiver, please refer to the Physical Sciences Division fee waiver policy .']","The application fee for the UChicago MS in Applied Data Science program is $90, which is non-refundable. For questions regarding an application fee waiver, please refer to the Physical Sciences Division fee waiver policy [1].","The application fee is $90 and is non-refundable. For information about fee waivers, applicants are referred to the Physical Sciences Division fee waiver policy.",0.3333333333333333,0.7773042944212097,0.9999999999,1.0
What application materials do I need to submit for the MS in Applied Data Science?,"['# Page Structure: How to Apply\nURL: https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply\n\n- How to Apply [node_id: page:7fb2f6ecae8feeeb] [type: Page]\n  - HAS_SECTION -> Page Header Content [node_id: section:f0ad0aa7786efe68] [type: Section]\n  - HAS_SECTION -> Master’s in Applied Data Science Application Requirements [node_id: section:23865d257571496f] [type: Section]\n  - HAS_SECTION -> Next Application Deadlines: [node_id: section:aebd8584b3152975] [type: Section]\n  - HAS_SECTION -> Letters of Recommendation [node_id: section:d930740da6ee2b4b] [type: Section]\n  - HAS_SECTION -> Candidate Statement [node_id: section:da3fa785bbe70053] [type: Section]\n  - HAS_SECTION -> Resume/CV [node_id: section:6675aea9911ef3cb] [type: Section]\n  - HAS_SECTION -> Programming Supplement [node_id: section:e8db29ddcca3c627] [type: Section]\n    - HAS_SECTION -> Virtual Portfolio [node_id: section:ae061c877cf9773b] [type: Section]\n  - HAS_SECTION -> International Students [node_id: section:6401bd9a64b0e5cc] [type: Section]\n  - HAS_SECTION -> English Language Requirement [node_id: section:fdc4d132e8a0caa5] [type: Section]\n  - HAS_SECTION -> Transcripts from all previous colleges and universities attended [node_id: section:70cf0aae09904173] [type: Section]\n  - HAS_SECTION -> Application Fee [node_id: section:d160960cbcdd5750] [type: Section]\n  - HAS_SECTION -> Tuition, Fees, & Aid [node_id: section:ed7c35d365921475] [type: Section]\n  - HAS_SECTION -> Meet your Admissions Counselor [node_id: section:d52ba0fab34e044c] [type: Section]\n  - HAS_SECTION -> Get in Touch [node_id: section:6670ce717c1dd352] [type: Section]', '*The may close early if the cohort is filled.', '- International applicants who require a new visa and did not apply by the January 2026 deadline must plan to apply in the next application cycle for Autumn 2027 entry.\n- Applicants who are currently studying in the United States on an F-1 visa and will transfer their SEVIS record from another U.S. institution may still apply by the remaining application deadlines', 'The MS in Applied Data Science program requires two letters of recommendation. We strongly recommend that at least one letter is written by someone such as a direct manager/supervisor or internship supervisor who can attest to skills you demonstrated or gained though a professional workplace experience (e.g., leadership, teamwork, collaboration, initiative, management, other).', 'Note: Letters of recommendation can be uploaded after you submit your application. Recommended sources for letters of recommendation include: professors; supervisors or managers; professional mentors.', 'We do not accept letters of recommendation from family members, friends, or peers.', 'The candidate statement is a key part of your application. The admissions committee pays careful attention to how you understand and present your aims and qualifications. The application will include a prompt with detailed instructions on the information the program is looking for in your candidate statement.', 'The Master’s in Applied Data Science admissions committee will review your resume. We encourage you to take the time to carefully update the resume you submit to us.', '- Work experience, including internships and part-time positions in the analytics/data science space\n- Major accomplishments and awards\n- Educational background, including areas of study\n- Professional conferences attended', '- Undergraduate or graduate GPA', 'Your application contains a section on programming skills. Although applicants with limited skills in R or Python can and do get accepted into the program, the admissions committee values prior programming experience. Include a PDF of no more than two pages demonstrating current programming language skills.', 'Applicants to the Master’s in Applied Data Science program who do not meet the English Language Proficiency criteria must submit proof of English language proficiency.', 'When applying to the program, only your unofficial transcripts are required. If you are admitted into the program, then official transcripts must be sent to the following (note a bachelor’s degree is required to apply to the program):', 'If your institution cannot send your documents electronically, please have them send your transcripts to the following mailing address.', 'Please note, if documents are being mailed, we must receive them in their original, school-sealed envelope. If your documents are not received in a school-sealed envelope, they will be considered unofficial. Additionally, if your transcript does not list degree conferral information (degree earned and date of conferral), we will also need to receive an attested copy of your degree certificate.', 'Attention: MS in Applied Data Science Admissions', '455 N Cityfront Plaza Dr., Suite 2800']","To apply for the MS in Applied Data Science at UChicago, you must submit the following materials:  

1. **Candidate Statement**: A key component of your application, where you detail your academic and professional goals, as well as your understanding of data science. The prompt provides specific instructions for this section [7].  
2. **Resume/CV**: Highlight work experience (including internships or part-time roles in analytics/data science), major accomplishments, educational background, professional conferences attended, and undergraduate/graduate GPA [8][9][10].  
3. **Letters of Recommendation**: Two letters are required. At least one should come from a professional supervisor or manager who can attest to your workplace skills (e.g., leadership, collaboration). Letters from family members, friends, or peers are not accepted [4][5][6].  
4. **Programming Supplement**: Submit a PDF (no more than two pages) demonstrating current programming skills in languages like R or Python. This includes a virtual portfolio if applicable [11].  
5. **Transcripts**: Unofficial transcripts are required initially. If admitted, official transcripts must be sent to the admissions office via mail or electronic submission. If mailed, they must be in a school-sealed envelope; otherwise, they will be considered unofficial [13][14][15][16].  
6. **English Language Proficiency**: Non-native English speakers must provide proof of proficiency, such as TOEFL or IELTS scores, unless exempt [12].  

Additional requirements include application fees, deadlines, and international student guidelines, which are detailed in the application portal [1][2][3].","Applicants must submit two letters of recommendation, a candidate statement of no more than 700 words, a resume/CV, a programming supplement (a PDF of no more than two pages demonstrating R or Python skills), and a short virtual portfolio video (one required prompt, ~1:30 minutes). They also upload unofficial transcripts from each university attended and pay a $90 non-refundable application fee. Applicants who do not meet the English Language Proficiency criteria must additionally submit TOEFL or IELTS scores.",0.875,0.8431721981651026,0.9999999999,0.3333333333333333
"I'm an international student who needs visa sponsorship — which version of the MS in Applied Data Science can I apply to, and is it STEM/OPT eligible?","['- Only the full-time, in-person program is visa-eligible.\n- International students are also welcome to apply to our Master’s in Applied Data Science Online program, which does not require citizenship or permanent resident status and does not provide visa sponsorship.', 'Yes, the full-time, In-Person Master’s in Applied Data Science program is listed as a STEM-designated degree by the U.S. Department of Homeland Security for the purposes of the STEM OPT extension, allowing eligible students to apply. However, approval of STEM OPT is at the discretion of U.S. Citizenship & Immigration Services.', 'The In-Person program admits full- and part-time students for entrance in Autumn quarter annually. The full-time, in-person MS in Applied Data Science program is STEM/OPT eligible . Please visit the Online program page if you are interested in those full- and part-time options.']","As an international student requiring visa sponsorship, you should apply to the **full-time, in-person MS in Applied Data Science program**, as this is the only version offering visa sponsorship [1]. This program is also **STEM/OPT eligible**, as it is designated as a STEM degree by the U.S. Department of Homeland Security, allowing eligible students to apply for the STEM OPT extension. However, approval of STEM OPT is at the discretion of U.S. Citizenship & Immigration Services [2]. The online program does not provide visa sponsorship and is therefore not suitable for your needs [1].","Only the full-time, in-person MS in Applied Data Science program is visa-eligible — both the 1-Year 12-Course pathway and the 2-Year Thesis Track 18-Course pathway qualify. The Online program does not provide visa sponsorship and does not require U.S. citizenship or permanent residency. The full-time, in-person program is also designated as a STEM degree by the U.S. Department of Homeland Security, so eligible students may apply for the STEM OPT extension (final approval is at USCIS discretion).",1.0,0.873314478216331,0.9999999999666667,0.6666666666666666
How many courses are in the 1-year MS in Applied Data Science track?,"['Beginning in academic 2026-27, a limited number of In-Person, Full-Time students will have the opportunity to complete a 2-year version of the MS in Applied Data Science program. The 2-year program is completed over 21 months (2 academic years). Students in the 2-year program will complete 18 instead of 12 courses. The additional 6 courses consist of 4 additional elective courses (100 units each); and 2 required thesis courses (100 units each) that culminate in the completion of a required written thesis or thesis project. The thesis will be an extension of students’ previously completed Capstone Project. 2-year program students are highly encouraged to complete a research Capstone (as compared to a traditional, industry Capstone) for various reasons.', '- The MS in Data Science is a 10-course program based on UChicago’s Hyde Park campus. It includes a comprehensive research project and is designed for students who want to dive deeper into the theoretical and research side of data science—often as preparation for PhD study or research-focused careers.\n- The MS in Applied Data Science program offers both a 12-course track and an 18-course thesis track. It is offered in online and in-person formats, with in-person classes held at the NBC Tower in downtown Chicago. The program focuses on applying data science and machine learning methods to real-world problems through hands-on coursework, industry collaborations, and a two-quarter capstone or research project.']","The 1-year MS in Applied Data Science track consists of 12 courses. This is explicitly stated in the comparison between the 1-year program and the 2-year thesis track, which specifies the 1-year program includes 12 courses versus the 2-year program's 18 courses [1].","The 1-year MS in Applied Data Science program is a 12-course track. The 12 courses break down into 6 Core courses, 4 Electives, and 2 Capstone courses. Students also complete a required Career Seminar throughout the program.",1.0,0.9936074848655111,0.49999999995,0.5
How many core courses do MS-ADS students have to take?,['You will complete 6 core courses toward your Master’s in Applied Data Science degree. Core courses allow you to build your theoretical data science knowledge and practice applying this theory to examine real-world business problems.'],MS-ADS students are required to complete 6 core courses as part of their Master’s degree program. These courses focus on building theoretical data science knowledge and applying it to real-world business problems [1].,"All MS in Applied Data Science students complete 6 core courses, regardless of whether they are in the 12-course track or the 18-course thesis track. The core courses are designed to build theoretical understanding and teach students to apply data science methods to real-world problems.",1.0,0.9192121194988672,0.9999999999,1.0
What kinds of electives are available in the MS-ADS online program?,"['You will complete 4 required electives toward your 12-course degree program. We continually add electives to evolve with the data science landscape. Past electives include Advanced Computer Vision with Deep Learning, Advanced Machine Learning and Artificial Intelligence, Bayesian Machine Learning with Generative AI Applications, Data Science for Algorithmic Marketing, Data Visualization Techniques, Digital Marketing Analytics in Theory and Practice, Quantitative Finance: Methods and Applications, Data Science for Healthcare, Machine Learning Operations, Next-Gen NLP: LLM and Agentic AI in Practice, Real Time Intelligent Systems, Deep Reinforcement Learning, Supply Chain Optimization.']","The UChicago MS in Applied Data Science online program requires students to complete 4 electives as part of their 12-course degree [1]. Past electives have included topics such as Advanced Computer Vision with Deep Learning, Advanced Machine Learning and Artificial Intelligence, Bayesian Machine Learning with Generative AI Applications, Data Science for Algorithmic Marketing, Data Visualization Techniques, Digital Marketing Analytics in Theory and Practice, Quantitative Finance: Methods and Applications, Data Science for Healthcare, Machine Learning Operations, Next-Gen NLP: LLM and Agentic AI in Practice, Real Time Intelligent Systems, Deep Reinforcement Learning, and Supply Chain Optimization [1]. The program continually adds new electives to align with evolving data science trends, though the specific current offerings are not detailed in the provided evidence. Students are encouraged to consult the program’s website for the most up-to-date list.","Students in the online program complete 4 required electives toward the 12-course degree. Past electives have included Advanced Computer Vision with Deep Learning, Advanced Machine Learning and Artificial Intelligence, Bayesian Machine Learning with Generative AI Applications, Data Science for Algorithmic Marketing, Data Visualization Techniques, Digital Marketing Analytics, Quantitative Finance, Data Science for Healthcare, Machine Learning Operations, Next-Gen NLP (LLM and Agentic AI in Practice), Real Time Intelligent Systems, Deep Reinforcement Learning, and Supply Chain Optimization. The elective catalog is updated continually to keep pace with the data science landscape.",0.9411764705882353,0.0,0.9999999999,1.0
What does the online MS-ADS student experience look like week-to-week?,"['The Online MS in Applied Data Science program at the University of Chicago delivers a structured online learning experience with live classes designed for working professionals.', 'The online applied data science format combines live synchronous classes with structured asynchronous coursework.']","The online MS in Applied Data Science program combines live synchronous classes with structured asynchronous coursework, offering a balance between academic rigor and flexibility for working professionals [1]. Week-to-week, students can expect a mix of live sessions (likely scheduled at consistent times) and self-paced assignments, readings, and projects [2]. The program emphasizes a structured yet adaptable format to accommodate professional commitments while maintaining academic engagement. However, specific weekly schedules or timetables are not detailed in the provided evidence.","The online program combines weekly live synchronous classes with asynchronous coursework students complete on their own schedule. Synchronous classes are scheduled on weekday evenings at 6 pm CT and on occasional Saturdays at 9 am CT, and admitted students are expected to attend live sessions. Asynchronous content (lecture videos, readings, discussions) prepares students for the live classes. Online students also attend an in-person Immersion Weekend in Chicago during the Autumn quarter to network with peers, alumni, and faculty.",0.4,0.737829910308748,0.99999999995,0.0
What's the difference between the 1-year 12-course program and the 2-year thesis track?,"['The longer degree timeline offers more time to engage in academic and professional development while maintaining the same rigorous core curriculum and access to UChicago’s faculty and data science network. The first 12 of 18 courses that students complete in the 2-year program follow exactly the same course progression as those in the 1-year, 12-course program.', 'The signature 1-year 12 course program is ideal for those who wish to fast-track their graduate studies. Full-time students typically graduate in 4–5 quarters; part-time students may take up to 6 quarters. All students must graduate within 4 years maximum.', 'Courses are primarily offered in the evenings and on weekends to support working professionals. The program is STEM/OPT eligible .', 'All students complete:\n1. 12 courses (6 Core, 4 Electives, 2 Capstone).\n2. A required Career Seminar throughout the program. Those with 3+ years of full-time work experience may petition for exemption.\n3. A 2-quarter Capstone Project with a real industry partner; some students opt to complete a research Capstone.', 'The 2-year program is not currently available to those in the Online program and/or those pursuing the MS in Applied Data Science on a part-time basis.', 'Beginning in academic 2026-27, a limited number of In-Person, Full-Time students will have the opportunity to complete a 2-year version of the MS in Applied Data Science program. The 2-year program is completed over 21 months (2 academic years). Students in the 2-year program will complete 18 instead of 12 courses. The additional 6 courses consist of 4 additional elective courses (100 units each); and 2 required thesis courses (100 units each) that culminate in the completion of a required written thesis or thesis project. The thesis will be an extension of students’ previously completed Capstone Project. 2-year program students are highly encouraged to complete a research Capstone (as compared to a traditional, industry Capstone) for various reasons.', 'Those admitted to the full-time, in-person thesis track pathway (18 courses, 6 quarters of coursework) are required to complete and submit a written thesis. The thesis will be an individually authored text based on an area of interest from students’ Research Capstone Project. The thesis will be managed through the required thesis courses (2, 100 units each). A lead faculty member with knowledge of the student’s area of interest will supervise the thesis project and provide resources and support as needed.', 'The 2-year Thesis Track (18 courses) pathway is optimized for those who want a longer master’s program, are interested in taking more elective courses, and have the capacity to complete a master’s thesis. The 2-year (21 month) pathway is completed over 6 academic quarters. The summer in between years 1 and 2 serves as a vacation quarter.', 'As an alternative to a traditional written thesis, students may opt to complete a thesis project that results in a ‘minimum viable product’ project. Through this option, students will complete a rigorous, multi-step ‘build’ and ‘marketing’ phase throughout the required 2 thesis courses. The thesis project will also be supervised by a program faculty member.']","The 1-year 12-course program and the 2-year thesis track differ primarily in duration, course structure, and requirements. The 1-year program is designed for students seeking to fast-track their studies, requiring 12 courses (6 core, 4 electives, 2 capstone) completed in 4–5 quarters for full-time students or up to 6 quarters part-time [2]. It emphasizes industry-focused capstone projects and is STEM/OPT eligible [3]. 

The 2-year thesis track, available only to full-time in-person students starting in 2026–27, requires 18 courses (12 core + 6 additional electives and thesis courses) over 21 months [6]. Students complete a research-oriented capstone project, which serves as the foundation for a written thesis or thesis project (e.g., a minimum viable product) supervised by a faculty member [7][9]. This track emphasizes academic depth and original research, with a summer break between years 1 and 2 [8]. 

Both programs share the same core curriculum, but the 2-year track includes more electives and a mandatory thesis component, while the 1-year program focuses on practical, industry-aligned outcomes [1][6]. The 2-year track is not available to part-time or online students [5].","The 1-year 12-course program requires 12 courses (6 Core, 4 Electives, 2 Capstone) and is available in both Full- and Part-Time formats; full-time students typically graduate in 4-5 quarters and part-time students may take up to 6 quarters. The 2-Year Thesis Track is Full-Time only, completed over 6 academic quarters (about 21 months), and requires 18 total courses (6 Core, 8 Electives, 2 Capstone, 2 Independent Study) plus a Master's Thesis, which can be a traditional written thesis or a project-based thesis. The 2-year track is intended for students who want a longer program with more electives and the capacity to complete a thesis.",0.95,0.9924265021894557,0.16666666665,
Who is the director of the MS in Applied Data Science program at UChicago?,"['David Uminsky, PhD – UChicago Data Science Institute, Executive Director']","The director of the MS in Applied Data Science program at UChicago is David Uminsky, PhD, who is listed as the Executive Director of the UChicago Data Science Institute [1]. The evidence provided does not explicitly state his role as the program director, though he is associated with the program's FAQs.",Greg Green is the Director of the MS in Applied Data Science Program at the University of Chicago. He is a Senior Instructional Professor and also serves as Senior Director for Industrial Partnerships and Strategy at the Data Science Institute.,0.25,0.9999999999998691,0.0,0.0
Who runs the online MS in Applied Data Science program?,"['The Online MS in Applied Data Science program at the University of Chicago delivers a structured online learning experience with live classes designed for working professionals.', ""# Page Structure: Master's in Applied Data Science\nURL: https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science\n\n- Master's in Applied Data Science [node_id: page:7b9e2af0a426bdaa] [type: Page]\n  - HAS_SECTION -> Programs [node_id: section:d09571040af49c8c] [type: Section]\n  - HAS_SECTION -> In-Person Program [node_id: section:243962533383050d] [type: Section]\n  - HAS_SECTION -> Online Program [node_id: section:daf7fadd58ec70c7] [type: Section]\n  - HAS_SECTION -> MBA/MS Program [node_id: section:9631562594fce870] [type: Section]\n  - HAS_SECTION -> Apply Today! [node_id: section:621376b0590e1fc8] [type: Section]\n  - HAS_SECTION -> How to Apply [node_id: section:0255fd5583d242af] [type: Section]\n  - HAS_SECTION -> Industry Leading Faculty [node_id: section:f895348f976bbc61] [type: Section]\n  - HAS_SECTION -> Data in Action - Capstone Projects [node_id: section:f1287fdd746250fc] [type: Section]\n  - HAS_SECTION -> How UChicago’s MS in Applied Data Science Prepares Future Innovators [node_id: section:2c2aff5bb826b079] [type: Section]\n  - HAS_SECTION -> Start Your Application [node_id: section:a1523d09ed289639] [type: Section]\n  - HAS_SECTION -> Related News, Insights, and Past Events [node_id: section:cfcc19cef3865744] [type: Section]\n  - HAS_SECTION -> The Time Constraints of AI Access Could Change How We Think [node_id: section:efa23469b96acdaa] [type: Section]\n  - HAS_SECTION -> Who Gets Hired, Paid, and Liked? Who Gets Credit? New Research Examines AI’s Role in Writing and the Workplace [node_id: section:44a86c57b73fabb9] [type: Section]\n  - HAS_SECTION -> University of Chicago Wins Distinguished Laude Institute Moonshots Seed Grant [node_id: section:613137b3458546c2] [type: Section]\n  - HAS_SECTION -> University of Chicago Announces Partnership with AI Research Commons and Microsoft to Accelerate Midwest AI Startups [node_id: section:fd15b6100e23d50a] [type: Section]\n  - HAS_SECTION -> Pathways to Impact in AI and Data Science with the Polsky Center for Entrepreneurship and Innovation [node_id: section:04fd06c256e30db9] [type: Section]\n  - HAS_SECTION -> University of Chicago Data Science Institute Welcomes Millennium as New Industry Affiliate Partner [node_id: section:6ffcd558b212d197] [type: Section]\n  - HAS_SECTION -> For Better Sleep, One MS-ADS Student Turned to Artificial Intelligence [node_id: section:14ec4754d4427cfa] [type: Section]\n  - HAS_SECTION -> From Chips to Agents: UChicago Watches NVIDIA’s Vision for the Next Era of AI [node_id: section:af0306e19ed94596] [type: Section]\n  - HAS_SECTION -> What If AI Scientists Could Talk to Each Other? [node_id: section:fef7d869faf544f1] [type: Section]""]","The Online MS in Applied Data Science program at the University of Chicago is administered by the university's data science academic offerings, as indicated by the program's description [1]. However, the specific department or office responsible for running the program is not explicitly mentioned in the provided evidence. Further details about program administration would require additional sources.","Arnab Bose, PhD, is the Program Director of the MS in Applied Data Science Online Program. He is an Associate Senior Instructional Professor and also serves as Chief Scientific Officer at UST AlphaAI.",0.5,0.8531202899896537,0.0,0.0
What courses does Arnab Bose teach in the program?,"['As an entrepreneur, Arnab had a startup focused on industrial applications of AI in healthcare, finance, semiconductor, and retail that he successfully exited post-acquisition. He is an advisor to AI companies and the Chief Scientific Officer at UST AlphaAI. At the University of Chicago, Arnab teaches Machine Learning, Machine Learning Operations, Time Series Analysis and Forecasting, and Data Science in Healthcare.']","Arnab Bose teaches the following courses in the UChicago MS in Applied Data Science program: Machine Learning, Machine Learning Operations, Time Series Analysis and Forecasting, and Data Science in Healthcare. This information is sourced from his faculty profile [1].","Arnab Bose teaches Machine Learning, Machine Learning Operations, Time Series Analysis and Forecasting, and Data Science in Healthcare in the MS in Applied Data Science program at the University of Chicago.",0.0,0.8186530713433573,0.9999999999,0.0
Which MS-ADS instructors have worked at Google?,"['Mike is a Staff Data Scientist at Google. His role involves consulting with large advertisers to help develop data science solutions to their marketing-related challenges. Before joining Google, Mike was a Senior Data Scientist at Nielsen, analyzing smart TV data. Mike has a PhD in Astrophysics from the University of Michigan. He also worked as a postdoctoral researcher at the Max-Planck Institute for Astrophysics in Germany before moving to Data Science.']","Mike Anderson, a Staff Data Scientist at Google, is listed as an instructor in the MS in Applied Data Science program. His current role at Google involves consulting with large advertisers on data science solutions for marketing challenges [1]. No other instructors in the program are mentioned as having worked at Google in the provided evidence.","Two instructors on the faculty page have Google experience. Greg Green previously served as Director at Google, and Mike Anderson is currently a Staff Data Scientist at Google where he consults with large advertisers on marketing data science problems.",0.6,0.5963993372013476,0.0,0.3333333333333333
